"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Genome Fragment","Order within Fragment","Accessory Fragment","Accessory Order with Fragment","QC","Min group size nuc","Max group size nuc","Avg group size nuc","t_centrarchi","t_lynn","t_maritimum","t_mesophilum","t_ovolyticum","t_rebecca","t_soleae","t_sp47","Inference"
"group_126","","Ferredoxin--NADP reductase","5","5","1","132","6778","150","155","","1055","1055","1055","BIAFHNIK_00079","ACNLJPHK_02361","","JLCCBCLK_00133","","IFMAJOOC_02574","NBFCBFAJ_00331","","ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:Q5SL28"
"hmgA","","Homogentisate 1%2C2-dioxygenase","5","5","1","132","6821","150","129","","341","1160","994","BIAFHNIK_00123","ACNLJPHK_01801","","JLCCBCLK_00113","","IFMAJOOC_02361","NBFCBFAJ_00321","","ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:Q6EMI9"
"hpd","","4-hydroxyphenylpyruvate dioxygenase","5","5","1","132","6829","150","4464","","1160","1163","1161","BIAFHNIK_00124","ACNLJPHK_01800","","JLCCBCLK_00112","","IFMAJOOC_02360","NBFCBFAJ_00320","","ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:Q53586"
"rpoE","","ECF RNA polymerase sigma-E factor; ECF RNA polymerase sigma factor SigE; RNA polymerase sigma factor CarQ","5","5","1","132","208","150","7027","","572","587","581","BIAFHNIK_00674","ACNLJPHK_00729","","","","IFMAJOOC_00172","NBFCBFAJ_01432","DIGNGMGA_00430","ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:A0R2D4"
"ppiB_2","","putative peptidyl-prolyl cis-trans isomerase","5","5","1","132","6919","150","5135","","929","929","929","BIAFHNIK_00777","ACNLJPHK_02392","","","AGNIMCJO_00622","IFMAJOOC_01054","","DIGNGMGA_00562","ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:O66105"
"lutB","","hypothetical protein; Lactate utilization protein B","5","5","1","132","3633","150","5326","","416","1319","1137","BIAFHNIK_00803","ACNLJPHK_03076","","","AGNIMCJO_00580","IFMAJOOC_01086","","DIGNGMGA_00592","ab initio prediction:Prodigal:2.6"
"carA","","Carbamoyl-phosphate synthase small chain","5","5","1","132","5792","150","3089","","1106","1115","1109","BIAFHNIK_00826","ACNLJPHK_00639","","","","IFMAJOOC_02743","NBFCBFAJ_01254","DIGNGMGA_00258","ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P0A6F1"
"thiG","","Thiazole synthase","5","5","1","132","5810","150","3103","","482","770","712","BIAFHNIK_00839","ACNLJPHK_02097","","","","IFMAJOOC_03127","NBFCBFAJ_01266","DIGNGMGA_00269","ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P30139"
"nadC","","Nicotinate-nucleotide pyrophosphorylase [carboxylating]; putative nicotinate-nucleotide pyrophosphorylase [carboxylating]","5","5","1","132","4614","150","5858","","860","860","860","BIAFHNIK_00853","ACNLJPHK_01987","","","AGNIMCJO_00315","IFMAJOOC_03007","NBFCBFAJ_01277","","ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:P30012"
"rplS","","50S ribosomal protein L19","5","5","1","132","2637","150","7743","","347","347","347","BIAFHNIK_00898","ACNLJPHK_01047","","","AGNIMCJO_00553","IFMAJOOC_02564","","DIGNGMGA_00473","ab initio prediction:Prodigal:2.6,similar to AA sequence:UniProtKB:Q2FZ42"
